ID,message
1,테스트
2,"난 네가 정말로 행복했으면 좋겠어.
정말로 그랬으면 좋겠어서, 가끔은 이런 마음이 너무 커서 어떻게 표현해야 할지 모를 때가 있어. 네가 웃을 때 정말 편안해서 웃는 거였으면 좋겠고, 힘든 날엔 말 없이 혼자 짊어지지 않았으면 좋겠어. 잘하고 있냐고, 괜찮냐고 자꾸 스스로에게 묻지 않아도 되는 날들이 많았으면 좋겠고, 무언가를 이루지 않아도 그냥 너라는 이유만으로 충분하다는 걸 네가 알았으면 좋겠어. 내가 해줄 수 있는 게 크지 않다는 걸 알아도, 적어도 네 곁에서 그 마음 하나만은 변하지 않고 있다는 걸 기억해줬으면 해. 그러니까 오늘도, 그리고 앞으로도, 너는 그냥 행복했으면 좋겠어."
3,"세상이 하늘이라면, 너는 그 밤을 수놓는 별이야. 누군가의 인생을 환하게 밝혀 주는 따뜻하고 소중한 존재. 그러니까 잊지마. 너는 항상 빛나고 있다는 걸."
4,"매일 새롭게 찾아오는 하루를 받아들이고 때로는 사랑으로, 때로는 행복으로 조금씩 채워 가느라 정말 고생 많았어.
나는 언제나 너를 응원해."
5,너는 처음부터 빛나는 사람이었어. 지금도 여전히 그렇고.
6,"나는 믿어. 네가 꿈을 향해 달려가는 그 모든 순간이 가장 예쁘게 빛날 거라고.
언젠가 뒤돌아 봤을 때, 이루지 못한 것보다 끝내 포기하지 않았던 시간이 먼저 떠오르기를. 그리고 그 시간들이 너의 가장 소중한 기억으로 남아 있기를."
7,"네가 해내고 싶은 일은 묵묵히 응원하고, 잠시 쉬어 가고 싶은 날에는 아무 말 없이 곁을 지킬게. 세상에 내밀었다가 차갑게 식어 버린 네 손을 다시 데워 줄 따뜻한 사람이 되어 줄게."
8,"몸과 마음뿐만 아니라, 네 모든 것이 건강했으면 좋겠어. 서서히 주변이 조용해지는 새벽에도 고민과 걱정에 붙잡혀 뜬눈으로 밤을 지새우는 날이 점점 줄어들고, 어렵게 찾아온 평온한 하루는 흔들리지 않은 채 오래 머물렀으면 좋겠어. 아플 만큼 아팠던 지난 상처도 조금씩 희미해져 더는 쉽게 덧나지 않았으면 좋겠고."
9,"어떤 사람은 자주 보지 않아도 이상하게 마음속에서 선명하다. 가끔 떠올리고, 좋은 소식이 있으면 반갑고, 힘들다는 말을 들으면 괜히 마음이 쓰인다. 가까움의 횟수와 마음의 크기가 꼭 비례하는 것은 아닌가 보다."
10,"너에게는 따뜻한 햇살 같은 하루가 많기를
마음이 쉬어갈 곳이 있기를
애쓰지 않아도 웃을 수 있는 날이 오기를
잘되지 않는 날에도 자신을 미워하지 않기를
결국 네가 걸어온 길을 보며

참 잘 왔다고 말할 수 있기를"
11,"마음이 커질수록 오히려 말은 조심스러워진다. 내가 느끼는 만큼 상대도 느껴야 한다고 생각하지 않기 위해서, 좋은 마음이 부담으로 바뀌지 않게 하기 위해서. 그래서 어떤 애정은 크게 말하는 것보다 오래 잘 다루는 일이 더 중요하다."
12,"관계가 편안해지는 순간은 좋은 모습만 보여주려고 애쓰지 않아도 될 때 찾아오는 것 같다. 말이 없어도 어색하지 않고, 피곤하면 피곤하다고 말할 수 있고, 잠시 연락이 뜸해져도 관계 전체를 의심하지 않는 사이. 그런 편안함은 처음부터 주어지는 것이 아니라 작은 신뢰가 반복되면서 만들어진다. 약속한 것을 지키고, 서로의 경계를 가볍게 넘지 않고, 마음이 달라졌을 때 솔직하게 말하는 시간이 쌓여야 한다. 그래서 오래가는 관계에는 화려한 이벤트보다 사소한 일관성이 더 많이 필요할지도 모른다. 편안함은 심심함이 아니라 오랜 신뢰가 만들어낸 결과일 수 있다."
13,"자신에게 맞는 속도를 찾는 일은 생각보다 어렵다. 주변 사람이 빠르게 앞으로 가면 가만히 있는 것만으로도 뒤처지는 기분이 들고, 서둘러야 할 이유가 없는데도 괜히 마음이 급해진다. 하지만 모든 사람의 출발점과 목적지가 다르다면 속도를 비교하는 일 자체가 정확하지 않을 수 있다. 빠르게 가는 것이 필요한 시기도 있고, 천천히 살펴보며 가야 하는 시기도 있다. 중요한 것은 남의 속도를 따라가느라 자기 상태를 놓치지 않는 것이다. 오래 갈 수 있는 속도는 가장 빠른 속도가 아니라 지금의 몸과 마음이 감당할 수 있는 속도에 더 가깝다. 결국 중요한 것은 남들이 보기 좋은 모양보다 오래 유지할 수 있는 방향인지도 모른다. 편안함과 지속 가능성은 생각보다 많은 선택의 기준이 된다."
14,사람은 이상하게 잘한 일보다 못한 일을 오래 기억한다. 열 번 잘하고 한 번 실수해도 그 한 번 때문에 자신을 의심한다. 오늘만큼은 반대로 기억했으면 좋겠다. 부족했던 한 장면보다 지금까지 잘해온 수많은 순간을 먼저 떠올리면서.
15,"한 사람에게 관심을 갖게 된 일이 예상하지 못한 방향으로 세계를 넓혀놓을 때가 있다. 원래는 알지 못했던 분야를 찾아보고, 가보지 않았을 장소에 가고, 낯선 사람들과 같은 순간을 기다리게 된다. 처음에는 한 사람을 향했던 호기심이 음악과 장소, 새로운 취향과 경험으로 조금씩 퍼져 나간다. 그러다 어느 순간 처음의 계기가 없어도 계속 좋아하게 된 것들이 생긴다. 누군가를 좋아한 경험이 결국 자신의 삶에 새로운 방을 하나씩 만들어준 셈이다. 마음은 한쪽으로만 흘러가는 것처럼 보여도 그 과정에서 얻은 경험과 기억은 다시 자기 삶으로 돌아와 오래 남는다."
16,"예전에는 크게 흔들렸을 일을 이제는 조금 덜 아파하며 지나갈 수 있다면 그것도 성장이라고 생각한다. 눈에 보이는 성취만 변화는 아니다. 마음이 회복되는 시간이 짧아지고, 자신을 덜 미워하게 되는 것도 분명 앞으로 간 흔적이다."
17,"응원이라는 말은 짧지만 그 안에 들어가는 마음은 꽤 많다. 잘했으면 좋겠고, 다치지 않았으면 좋겠고, 결과와 상관없이 스스로를 너무 미워하지 않았으면 좋겠다는 마음. 그래서 어떤 날에는 긴 말보다 그냥 응원한다는 한마디가 가장 정확하다."
18,"좋은 사람을 만나는 것만큼 좋은 관계를 알아보는 감각도 중요하다. 강렬한 감정을 주는 관계가 반드시 깊은 관계인 것은 아니고, 특별한 말을 많이 하지 않아도 이상하게 마음이 편한 사람이 있다. 늘 확인받아야 안심되는 사이보다 잠시 연락이 없어도 각자의 생활을 믿을 수 있는 사이가 오래가기도 한다. 친밀함은 얼마나 자주 만나고 얼마나 많은 비밀을 공유하는지만으로 설명되지 않는다. 함께 있을 때 자신을 과장하거나 축소하지 않아도 되는 편안함, 서로의 시간을 침범하지 않아도 관계가 흔들리지 않는 안정감도 친밀함의 중요한 모습이다. 좋은 관계는 때로 설렘보다 안심에 더 가까운 얼굴을 하고 있다."
19,"힘든 일 있을 때 나 불러서 다 말해줘
잘 듣고 네 편 드는 일.

그거 내가 제일 잘 하거든."
20,"사진을 정리하다 보면 당시에는 별것 아니었던 장면이 몇 년 뒤 가장 마음에 드는 사진이 되어 있을 때가 있다. 완벽하게 준비하고 찍은 사진보다 웃다가 흔들린 얼굴, 목적 없이 걷다 찍은 거리, 평범한 식탁 같은 장면이 이상하게 오래 눈에 머문다. 그때는 너무 일상적이라 소중한 줄 몰랐던 시간이 지나고 나서야 특별해진 것이다. 삶도 비슷할지 모른다. 지금은 별 의미 없이 지나가는 하루가 나중에는 몹시 그리운 시절의 한 부분이 될 수 있다. 현재를 미래의 결과를 기다리는 대기실처럼만 살기에는 이미 지금도 계속 삶이 지나가고 있다. 결국 중요한 것은 남들이 보기 좋은 모양보다 오래 유지할 수 있는 방향인지도 모른다. 편안함과 지속 가능성은 생각보다 많은 선택의 기준이 된다."
21,"타오르는 태양도 잠드는 시간이 있듯, 너의 노력 또한 그런 것이다.
별이 가진 모든 빛을 다 셀 수 없듯, 너의 가능성이 그런 것이다. 

너의 인생과 가치와 결과와 시간과 가능성은 그런 것이다."
